Name,3_with_prob,4_with_prob,5_with_prob,6_with_prob,7_with_prob,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
Grealish,2.36970166666667,2.36970166666667,2.36970166666667,2.71654666666667,2.75242666666667,2.69826166666667,2.77420666666667,2.75202166666667,2.91228666666667,2.72527666666667,2.77024166666667,2.80439166666667,2.72090666666667,2.74718666666667,2.77592166666667,1.66666666666667,2.76569666666667,2.75697166666667,2.71328166666667,2.81191666666667,2.77784666666667,2.86664166666667,2.76958666666667,2.82528166666667,2.84400166666667,2.67880666666667,2.76450166666667,2.77911166666667,2.77891166666667,2.75631166666667,2.78414166666667,2.75543666666667,2.87577166666667,2.81379166666667,2.82223166666667,2.81778666666667
Haaland,6.07561166666667,6.07561166666667,6.07561166666667,6.76540666666667,5.98336666666667,5.85903166666667,6.20071166666667,5.69180666666667,6.18234166666667,5.79159666666667,6.19794666666667,5.91686166666667,6.07154166666667,5.76230666666667,6.01302166666667,3.16666666666667,6.17021166666667,5.93272166666667,5.72517166666667,6.09129166666667,5.80194666666667,6.21567166666667,5.89634666666667,6.07522166666667,6.14566666666667,5.77645666666667,5.89954666666667,5.85589166666667,6.12069666666667,5.94912666666667,6.11156666666667,5.82249166666667,6.12950166666667,6.17722166666667,6.40219166666667,6.16810166666667
Rodrigo,6.06259333333333,6.06259333333333,6.06259333333333,6.29328833333333,6.19024833333333,6.05576833333333,6.18990333333333,6.15577333333333,6.40232833333333,6.11462333333333,6.18380333333333,6.23633833333333,6.10790333333333,6.14833833333333,6.19253833333333,4.33333333333333,6.17680833333333,6.16338833333333,6.09617333333333,6.24791333333333,6.19549833333333,6.33210833333333,6.18279333333333,6.26847833333333,6.29727333333333,6.04313333333333,6.17497333333333,6.19744333333333,6.19713833333333,6.16237333333333,6.20518333333333,6.16102333333333,6.34614833333333,6.25079833333333,6.26377833333333,6.25694333333333
Stones,0.42086,0.42086,0.42086,0.80718,0.779685,0.599585,0.68056,0.63543,0.925025,0.605485,0.63605,0.69194,0.658285,0.659945,0.82806,0,0.732795,0.887895,0.583525,0.94842,0.720765,0.913095,0.683225,0.82748,0.732315,0.474785,0.645885,0.765095,0.779125,0.81014,0.901275,0.638805,0.822855,0.87751,0.866665,0.879415
Walker,3.74674333333333,3.74674333333333,3.74674333333333,4.32643833333333,4.08428833333333,3.66701833333333,3.84250333333333,3.75392833333333,4.32231833333333,3.69515833333333,3.75514333333333,3.86483833333333,3.79878833333333,3.80204333333333,4.13200833333333,2.33333333333333,3.94502333333333,4.24944333333333,3.65204833333333,4.36823833333333,3.92140833333333,4.29889833333333,3.84773333333333,4.13086833333333,3.94408833333333,3.43863333333333,3.77444333333333,4.00842333333333,4.03595833333333,4.09682833333333,4.27569833333333,3.76055333333333,4.12179333333333,4.22906333333333,4.20777833333333,4.23280333333333
Antony,2.81986,2.81986,2.81986,2.840495,2.878255,2.99785,2.9556,2.75876,2.981865,2.921205,2.89183,2.80835,2.89802,3.1253,2.75344,2.86583,2.912875,3.06714,2.953455,2.946775,2.97479,2.820495,2.86235,3.046695,2.70397,3.0526,2.877935,2.91118,2.82745,2.89907,2.98673,2.9799,2.96544,2.87688,2.91319,2.88993
B.Fernandes,5.67706666666667,5.67706666666667,5.67706666666667,5.62424166666667,5.60248666666667,5.77246166666667,5.69612166666667,5.34004666666667,5.74363666666667,5.63389666666667,5.58076166666667,5.42975166666667,5.59196166666667,6.00309666666667,5.33042166666667,5.53372166666667,5.61883166666667,5.89788666666667,5.69224166666667,5.68015166666667,5.73083166666667,5.45171666666667,5.52743666666667,5.86090166666667,5.24092666666667,5.87159166666667,5.55562666666667,5.61576166666667,5.46430166666667,5.59385666666667,5.75242666666667,5.74007666666667,5.71392166666667,5.55372166666667,5.61940166666667,5.57732166666667
Casemiro,3.797275,3.797275,3.797275,3.772385,3.760055,3.83185,3.79276,3.610795,3.817045,3.760965,3.73381,3.656635,3.739535,3.94964,3.605875,3.70977,3.753265,3.895875,3.79078,3.7846,3.8105,3.66786,3.706555,3.876975,3.56014,3.882435,3.720965,3.751695,3.674295,3.7405,3.82154,3.815225,3.80186,3.71999,3.753555,3.73205
Rashford,4.341045,4.341045,4.341045,4.347975,4.37754,4.51994,4.439105,4.17491,4.47436,4.39294,4.353515,4.24147,4.361825,4.66687,4.16777,4.318615,4.38176,4.58881,4.43623,4.427255,4.46486,4.257765,4.31395,4.56137,4.10137,4.5693,4.334865,4.379485,4.267105,4.36323,4.480885,4.47172,4.452315,4.33345,4.382185,4.35096
Anderson,0.89789,0.89789,0.89789,1.05097,1.122205,1.142055,1.15703,1.164085,1.15796,1.17138,1.15519,1.17682,1.15406,1.151075,1.182325,1.14868,1.18997,1.1288,1.129775,1.14104,1.15942,1.186055,1.19667,1.134455,1.16804,1.14231,1.15133,1.1692,1.1834,1.17049,1.165305,1.150085,1.151525,1.1544,1.156535,1.15759
Burn,2.54358833333333,2.54358833333333,2.54358833333333,2.32545833333333,2.85997333333333,2.30697833333333,2.65206833333333,2.63764333333333,2.52829333333333,2.65092333333333,2.36735833333333,2.46386333333333,2.46479833333333,2.28004333333333,2.67994833333333,2.32159833333333,2.89102833333333,1.95763333333333,2.09473333333333,2.31834333333333,2.79597833333333,2.64183333333333,2.84266833333333,2.20295333333333,2.74926833333333,2.21454833333333,2.61683833333333,2.75301833333333,2.81921333333333,2.72795333333333,2.38449333333333,2.27341333333333,2.76968333333333,2.86154333333333,2.36211833333333,2.44114833333333
Isak,4.67435333333333,4.67435333333333,4.67435333333333,4.86115833333333,4.80356833333333,4.73290333333333,4.74692333333333,4.69517833333333,4.65743333333333,4.78234833333333,4.68047333333333,4.82246833333333,4.83644833333333,4.63840833333333,5.09330833333333,4.60413333333333,5.12528833333333,4.61219333333333,4.61414833333333,4.78024833333333,4.80304833333333,4.81326333333333,4.84335333333333,4.64744833333333,4.84043833333333,4.62081333333333,4.71053333333333,4.83524333333333,4.86233833333333,4.96856333333333,4.69215333333333,4.56398333333333,4.70118833333333,4.78853333333333,4.85381833333333,4.62670833333333
Joelinton,2.37034666666667,2.37034666666667,2.37034666666667,2.36650166666667,2.41434666666667,2.34664166666667,2.39997666666667,2.43548666666667,2.40464166666667,2.47218666666667,2.39070666666667,2.49956666666667,2.38501666666667,2.37000666666667,2.52726666666667,2.35794166666667,2.56574666666667,2.25790166666667,2.26278666666667,2.31949166666667,2.41200166666667,2.54604666666667,2.59946666666667,2.28636166666667,2.45537166666667,2.32588166666667,2.37128666666667,2.46122166666667,2.53269166666667,2.46772166666667,2.44162666666667,2.36501666666667,2.37225666666667,2.38673166666667,2.39746666666667,2.40279166666667
