ID,Name,Team,Pos,Price,5_pts_no_prob,5_prob,5_with_prob,6_pts_no_prob,6_prob,6_with_prob,7_pts_no_prob,7_prob,7_with_prob,8_pts_no_prob,8_prob,8_with_prob,9_pts_no_prob,9_prob,9_with_prob,10_pts_no_prob,10_prob,10_with_prob,11_pts_no_prob,11_prob,11_with_prob,12_pts_no_prob,12_prob,12_with_prob,13_pts_no_prob,13_prob,13_with_prob,14_pts_no_prob,14_prob,14_with_prob,15_pts_no_prob,15_prob,15_with_prob,16_pts_no_prob,16_prob,16_with_prob,17_pts_no_prob,17_prob,17_with_prob,18_pts_no_prob,18_prob,18_with_prob,19_pts_no_prob,19_prob,19_with_prob,20_pts_no_prob,20_prob,20_with_prob,21_pts_no_prob,21_prob,21_with_prob,22_pts_no_prob,22_prob,22_with_prob,23_pts_no_prob,23_prob,23_with_prob,24_pts_no_prob,24_prob,24_with_prob,25_pts_no_prob,25_prob,25_with_prob,26_pts_no_prob,26_prob,26_with_prob,27_pts_no_prob,27_prob,27_with_prob,28_pts_no_prob,28_prob,28_with_prob,29_pts_no_prob,29_prob,29_with_prob,30_pts_no_prob,30_prob,30_with_prob,31_pts_no_prob,31_prob,31_with_prob,32_pts_no_prob,32_prob,32_with_prob,33_pts_no_prob,33_prob,33_with_prob,34_pts_no_prob,34_prob,34_with_prob,35_pts_no_prob,35_prob,35_with_prob,36_pts_no_prob,36_prob,36_with_prob,37_pts_no_prob,37_prob,37_with_prob,38_pts_no_prob,38_prob,38_with_prob,tba_pts_no_prob,tba_prob,tba_with_prob
11,Marquinhos,ARS,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Martinelli,ARS,MID,7.9,4.51735,0.93939,4.24355,4.75576,0.93939,4.46752,4.88157,0.93939,4.58571,4.29711,0.93939,4.03667,4.50586,0.93939,4.23277,4.6385,0.93939,4.35737,4.45569,0.93939,4.18563,4.8684,0.93939,4.57333,4.72584,0.93939,4.43941,4.87624,0.93939,4.5807,4.59756,0.93939,4.3189,4.48759,0.93939,4.2156,4.71061,0.93939,4.42511,4.31142,0.93939,4.05011,4.89297,0.93939,4.59641,4.91156,0.93939,4.61387,4.71779,0.93939,4.43184,5.13559,0.93939,4.82433,4.69403,0.93939,4.40953,4.60669,0.93939,4.32748,4.67991,0.93939,4.39626,4.90639,0.93939,4.60902,4.84255,0.93939,4.54905,4.99082,0.93939,4.68833,4.69127,0.93939,4.40694,4.18145,0.93939,3.92801,4.75218,0.93939,4.46416,4.67001,0.93939,4.38696,4.7303,0.93939,4.4436,4.81936,0.93939,4.52726,4.63206,0.93939,4.35132,5.28839,0.93939,4.96786,4.61779,0.93939,4.33791,5.0974,0.93939,4.78845,0,0,0
13,Nketiah,ARS,FWD,5.6,3.03307,0.918,2.78435,2.81741,0.918,2.58637,2.96778,0.918,2.72441,2.7216,0.918,2.49842,2.74545,0.918,2.52032,2.87564,0.918,2.63983,2.68418,0.918,2.46407,3.02191,0.918,2.77411,2.755,0.918,2.52909,3.10118,0.918,2.84688,2.71844,0.918,2.49552,3.00369,0.918,2.75738,3.12285,0.918,2.86677,2.73149,0.918,2.5075,3.09276,0.918,2.83915,3.3087,0.918,3.03738,2.94971,0.918,2.70783,3.05716,0.918,2.80647,3.1203,0.918,2.86443,2.91024,0.918,2.6716,3.01711,0.918,2.7697,3.12045,0.918,2.86457,3.13051,0.918,2.87381,2.83687,0.918,2.60424,2.84208,0.918,2.60902,2.64649,0.918,2.42947,3.04061,0.918,2.79128,2.84503,0.918,2.61174,3.04904,0.918,2.79901,2.8659,0.918,2.63089,2.77395,0.918,2.54648,3.1059,0.918,2.85121,2.6534,0.918,2.43582,3.13665,0.918,2.87944,0,0,0
14,Ødegaard,ARS,MID,8.5,5.22005,0.9412,4.91312,5.45075,0.9412,5.13025,5.55084,0.9412,5.22446,4.92437,0.9412,4.63482,5.16104,0.9412,4.85758,5.31396,0.9412,5.0015,5.10319,0.9412,4.80313,5.57902,0.9412,5.25098,5.41466,0.9412,5.09628,5.58805,0.9412,5.25948,5.26676,0.9412,4.95708,5.13997,0.9412,4.83774,5.3971,0.9412,5.07975,4.93687,0.9412,4.64658,5.60733,0.9412,5.27763,5.62877,0.9412,5.2978,5.40537,0.9412,5.08754,5.88706,0.9412,5.5409,5.37798,0.9412,5.06176,5.27728,0.9412,4.96699,5.3617,0.9412,5.04644,5.62281,0.9412,5.2922,5.54921,0.9412,5.22292,5.72015,0.9412,5.38381,5.3748,0.9412,5.05877,4.78702,0.9412,4.50554,5.44502,0.9412,5.12486,5.35028,0.9412,5.03569,5.41979,0.9412,5.10112,5.52247,0.9412,5.19775,5.30654,0.9412,4.99452,6.06322,0.9412,5.70671,5.29008,0.9412,4.97903,5.84302,0.9412,5.49946,0,0,0
15,Thomas,ARS,MID,4.9,2.985,0.06281,0.18748,3.10965,0.24338,0.75682,3.1724,0.50246,1.594,2.88634,0.66733,1.92613,2.98265,0.74583,2.22454,3.05343,0.78506,2.39714,2.95587,0.78506,2.32054,3.17612,0.78506,2.49346,3.10004,0.78506,2.43373,3.18031,0.78506,2.49674,3.03158,0.78506,2.37998,2.97289,0.78506,2.33391,3.09192,0.78506,2.42735,2.87888,0.78506,2.2601,3.18923,0.78506,2.50375,3.19915,0.78506,2.51154,3.09574,0.78506,2.43035,3.31871,0.78506,2.6054,3.08307,0.78506,2.4204,3.03646,0.78506,2.38381,3.07553,0.78506,2.41448,3.1964,0.78506,2.50937,3.16233,0.78506,2.48262,3.24145,0.78506,2.54474,3.0816,0.78506,2.41925,2.80951,0.78506,2.20564,3.1141,0.78506,2.44476,3.07025,0.78506,2.41034,3.10242,0.78506,2.4356,3.14995,0.78506,2.47291,3.05,0.78506,2.39444,3.40026,0.78506,2.66942,3.04238,0.78506,2.38846,3.29833,0.78506,2.5894,0,0,0
16,Pepe,ARS,MID,4.9,2.29989,0.00837,0.01926,2.35781,0.00837,0.01974,2.38908,0.00837,0.02,2.17483,0.00837,0.01821,2.23938,0.00837,0.01875,2.28683,0.00837,0.01915,2.22143,0.00837,0.0186,2.36907,0.00837,0.01983,2.31807,0.00837,0.01941,2.37188,0.00837,0.01986,2.27218,0.00837,0.01902,2.23285,0.00837,0.01869,2.31263,0.00837,0.01936,2.16983,0.00837,0.01817,2.37786,0.00837,0.01991,2.38451,0.00837,0.01996,2.31519,0.00837,0.01938,2.46465,0.00837,0.02063,2.30669,0.00837,0.01931,2.27545,0.00837,0.01905,2.30164,0.00837,0.01927,2.38266,0.00837,0.01995,2.35982,0.00837,0.01976,2.41286,0.00837,0.0202,2.30571,0.00837,0.0193,2.12333,0.00837,0.01778,2.3275,0.00837,0.01949,2.2981,0.00837,0.01924,2.31967,0.00837,0.01942,2.35153,0.00837,0.01969,2.28453,0.00837,0.01913,2.51931,0.00837,0.02109,2.27942,0.00837,0.01908,2.45099,0.00837,0.02052,0,0,0
17,Ramsdale,ARS,GK,5,4.11534,0.9,3.70381,3.73029,0.9,3.35726,3.73119,0.9,3.35807,3.63259,0.9,3.26933,3.61906,0.9,3.25715,3.72632,0.9,3.35368,3.6534,0.9,3.28806,3.70458,0.9,3.33413,3.76087,0.9,3.38478,3.64126,0.9,3.27713,3.96567,0.9,3.5691,3.61404,0.9,3.25263,3.73843,0.9,3.36458,3.68214,0.9,3.31393,3.99819,0.9,3.59837,3.95456,0.9,3.5591,4.00353,0.9,3.60318,4.02125,0.9,3.61913,3.48575,0.9,3.13717,3.43266,0.9,3.0894,3.93004,0.9,3.53704,3.65618,0.9,3.29056,3.86198,0.9,3.47579,3.61599,0.9,3.25439,3.9544,0.9,3.55896,3.2072,0.9,2.88648,3.73083,0.9,3.35775,3.90104,0.9,3.51094,3.74449,0.9,3.37004,4.01669,0.9,3.61502,3.72245,0.9,3.3502,3.88416,0.9,3.49574,3.69224,0.9,3.32302,3.90061,0.9,3.51055,0,0,0
18,Rúnarsson,ARS,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Saka,ARS,MID,8.7,5.95429,0.94123,5.60437,5.99721,0.94123,5.64477,5.9622,0.94123,5.61182,5.05509,0.94123,4.75801,5.24245,0.94123,4.93436,5.40587,0.94123,5.08818,5.18063,0.94123,4.87618,5.68912,0.94123,5.35478,5.51348,0.94123,5.18946,5.69878,0.94123,5.36387,5.35543,0.94123,5.0407,5.21994,0.94123,4.91317,5.49471,0.94123,5.1718,5.00289,0.94123,4.70888,5.71938,0.94123,5.38326,5.74229,0.94123,5.40482,5.50355,0.94123,5.18012,6.0183,0.94123,5.66462,5.47428,0.94123,5.15257,5.36668,0.94123,5.05129,5.45688,0.94123,5.13619,5.73592,0.94123,5.39883,5.65726,0.94123,5.3248,5.83994,0.94123,5.49674,5.47089,0.94123,5.14937,4.84276,0.94123,4.55816,5.54593,0.94123,5.22,5.44469,0.94123,5.12471,5.51897,0.94123,5.19463,5.62869,0.94123,5.2979,5.39794,0.94123,5.08071,6.20656,0.94123,5.84181,5.38035,0.94123,5.06416,5.97125,0.94123,5.62033,0,0,0
20,Saliba,ARS,DEF,5.2,2.8646,0.93133,2.66788,2.80648,0.93133,2.61374,3.32703,0.93133,3.09855,2.37694,0.93133,2.21371,2.6076,0.93133,2.42853,3.58272,0.93133,3.33669,2.53176,0.93133,2.3579,3.79171,0.93133,3.53132,3.00564,0.93133,2.79923,3.54687,0.93133,3.30329,2.79564,0.93133,2.60365,2.78992,0.93133,2.59832,2.86681,0.93133,2.66994,2.15631,0.93133,2.00823,3.55345,0.93133,3.30942,3.50942,0.93133,3.26842,3.37612,0.93133,3.14427,3.35815,0.93133,3.12754,2.71313,0.93133,2.52681,2.78752,0.93133,2.59609,3.74408,0.93133,3.48696,3.27512,0.93133,3.0502,2.89292,0.93133,2.69425,3.33224,0.93133,3.1034,2.87602,0.93133,2.67851,2.20006,0.93133,2.04898,3.62892,0.93133,3.3797,2.74708,0.93133,2.55843,3.20716,0.93133,2.98691,3.35079,0.93133,3.12068,2.72265,0.93133,2.53567,3.71093,0.93133,3.45609,2.711,0.93133,2.52482,3.66973,0.93133,3.41772,0,0,0
