ID,Name,Team,Pos,Price,5_pts_no_prob,5_prob,5_with_prob,6_pts_no_prob,6_prob,6_with_prob,7_pts_no_prob,7_prob,7_with_prob,8_pts_no_prob,8_prob,8_with_prob,9_pts_no_prob,9_prob,9_with_prob,10_pts_no_prob,10_prob,10_with_prob,11_pts_no_prob,11_prob,11_with_prob,12_pts_no_prob,12_prob,12_with_prob,13_pts_no_prob,13_prob,13_with_prob,14_pts_no_prob,14_prob,14_with_prob,15_pts_no_prob,15_prob,15_with_prob,16_pts_no_prob,16_prob,16_with_prob,17_pts_no_prob,17_prob,17_with_prob,18_pts_no_prob,18_prob,18_with_prob,19_pts_no_prob,19_prob,19_with_prob,20_pts_no_prob,20_prob,20_with_prob,21_pts_no_prob,21_prob,21_with_prob,22_pts_no_prob,22_prob,22_with_prob,23_pts_no_prob,23_prob,23_with_prob,24_pts_no_prob,24_prob,24_with_prob,25_pts_no_prob,25_prob,25_with_prob,26_pts_no_prob,26_prob,26_with_prob,27_pts_no_prob,27_prob,27_with_prob,28_pts_no_prob,28_prob,28_with_prob,29_pts_no_prob,29_prob,29_with_prob,30_pts_no_prob,30_prob,30_with_prob,31_pts_no_prob,31_prob,31_with_prob,32_pts_no_prob,32_prob,32_with_prob,33_pts_no_prob,33_prob,33_with_prob,34_pts_no_prob,34_prob,34_with_prob,35_pts_no_prob,35_prob,35_with_prob,36_pts_no_prob,36_prob,36_with_prob,37_pts_no_prob,37_prob,37_with_prob,38_pts_no_prob,38_prob,38_with_prob,tba_pts_no_prob,tba_prob,tba_with_prob
162,Churlinov,BUR,MID,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Cork,BUR,MID,4.9,2.17317,0.62368,1.35537,2.16105,0.62368,1.34781,4.11078,0.62368,2.56383,2.15231,0.62368,1.34236,2.16324,0.62368,1.34918,2.226,0.62368,1.38832,2.1607,0.62368,1.34759,2.05794,0.62368,1.28351,2.21609,0.62368,1.38214,2.13563,0.62368,1.33196,2.19281,0.62368,1.36762,2.14559,0.62368,1.33817,2.28073,0.62368,1.42245,2.22197,0.62368,1.3858,2.15318,0.62368,1.34291,2.08791,0.62368,1.30219,2.17157,0.62368,1.35437,1.99111,0.62368,1.24182,2.27582,0.62368,1.41939,2.03221,0.62368,1.26745,2.16491,0.62368,1.35022,2.13475,0.62368,1.33141,2.34112,0.62368,1.46012,2.12557,0.62368,1.32568,2.24703,0.62368,1.40143,2.09369,0.62368,1.3058,2.2108,0.62368,1.37884,2.14717,0.62368,1.33915,2.15843,0.62368,1.34618,2.20015,0.62368,1.3722,2.12908,0.62368,1.32787,2.22033,0.62368,1.38479,2.13359,0.62368,1.33069,2.31062,0.62368,1.4411,0,0,0
164,Costelloe,BUR,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Cullen,BUR,MID,5,2.89917,0.94109,2.7284,2.85882,0.94109,2.69042,5.33952,0.94109,5.025,2.75068,0.94109,2.58865,2.76599,0.94109,2.60306,2.85389,0.94109,2.68578,2.76242,0.94109,2.5997,2.61851,0.94109,2.46427,2.84,0.94109,2.67271,2.72731,0.94109,2.56666,2.8074,0.94109,2.64203,2.74126,0.94109,2.57979,2.93053,0.94109,2.75791,2.84823,0.94109,2.68046,2.7519,0.94109,2.5898,2.66048,0.94109,2.50376,2.77765,0.94109,2.61403,2.5249,0.94109,2.37617,2.92366,0.94109,2.75144,2.58246,0.94109,2.43034,2.76833,0.94109,2.60526,2.72608,0.94109,2.5655,3.01511,0.94109,2.83751,2.71322,0.94109,2.5534,2.88333,0.94109,2.71349,2.66857,0.94109,2.51138,2.83259,0.94109,2.66574,2.74348,0.94109,2.58187,2.75924,0.94109,2.59671,2.81767,0.94109,2.6517,2.71814,0.94109,2.55803,2.84594,0.94109,2.6783,2.72446,0.94109,2.56397,2.9724,0.94109,2.79731,0,0,0
166,Egan-Riley,BUR,DEF,3.9,1.85408,0.41665,0.77251,1.65958,0.41665,0.69147,2.84405,0.41665,1.18498,1.55412,0.41665,0.64753,1.63476,0.41665,0.68113,1.86401,0.41665,0.77665,1.86526,0.41665,0.77716,1.37444,0.41665,0.57266,1.97559,0.41665,0.82313,1.9938,0.41665,0.83072,1.8495,0.41665,0.7706,1.4739,0.41665,0.6141,2.04793,0.41665,0.85327,1.94819,0.41665,0.81172,1.45278,0.41665,0.6053,1.50055,0.41665,0.62521,2.02254,0.41665,0.84269,1.13356,0.41665,0.4723,1.89573,0.41665,0.78986,1.10634,0.41665,0.46096,1.72999,0.41665,0.72081,1.82676,0.41665,0.76112,2.07356,0.41665,0.86395,1.49906,0.41665,0.62458,1.83796,0.41665,0.76579,1.38712,0.41665,0.57795,1.97149,0.41665,0.82143,1.66061,0.41665,0.69189,1.54839,0.41665,0.64514,1.56463,0.41665,0.65191,1.45145,0.41665,0.60475,1.80242,0.41665,0.75098,1.4587,0.41665,0.60777,2.12641,0.41665,0.88597,0,0,0
167,Ekdal,BUR,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Foster,BUR,FWD,5,3.03805,0.75803,2.30293,3.04736,0.75803,2.30999,5.44076,0.75803,4.12425,2.82732,0.75803,2.14319,2.75198,0.75803,2.08608,2.97009,0.75803,2.25142,2.92045,0.75803,2.21378,2.78104,0.75803,2.10811,3.04422,0.75803,2.30761,2.85636,0.75803,2.1652,2.84793,0.75803,2.15881,2.82988,0.75803,2.14513,3.0822,0.75803,2.33639,3.23107,0.75803,2.44924,3.06805,0.75803,2.32567,2.96715,0.75803,2.24919,2.9991,0.75803,2.27341,2.65808,0.75803,2.0149,3.40589,0.75803,2.58176,2.73163,0.75803,2.07066,2.79503,0.75803,2.11871,2.86945,0.75803,2.17513,3.05559,0.75803,2.31623,2.8863,0.75803,2.1879,2.82282,0.75803,2.13978,2.74372,0.75803,2.07982,3.05151,0.75803,2.31313,3.04591,0.75803,2.30889,3.07026,0.75803,2.32734,3.07689,0.75803,2.33237,2.66407,0.75803,2.01944,3.06818,0.75803,2.32577,2.76837,0.75803,2.09851,3.4507,0.75803,2.61573,0,0,0
169,Franchi,BUR,GK,4,3.43031,0.002,0.00686,3.35091,0.002,0.0067,6.52027,0.002,0.01304,3.37657,0.002,0.00675,3.22101,0.002,0.00644,3.19716,0.002,0.00639,3.41607,0.002,0.00683,3.13264,0.002,0.00627,3.41177,0.002,0.00682,3.19324,0.002,0.00639,3.42664,0.002,0.00685,3.33369,0.002,0.00667,3.33334,0.002,0.00667,3.3767,0.002,0.00675,2.99987,0.002,0.006,3.10299,0.002,0.00621,3.19687,0.002,0.00639,2.77597,0.002,0.00555,3.46249,0.002,0.00692,3.15773,0.002,0.00632,3.06423,0.002,0.00613,3.24423,0.002,0.00649,3.32012,0.002,0.00664,2.9572,0.002,0.00591,3.10456,0.002,0.00621,3.10702,0.002,0.00621,3.12487,0.002,0.00625,3.50594,0.002,0.00701,3.20298,0.002,0.00641,3.30229,0.002,0.0066,3.16585,0.002,0.00633,3.13687,0.002,0.00627,3.19013,0.002,0.00638,3.55518,0.002,0.00711,0,0,0
170,Gudmundsson,BUR,MID,4.9,1.94244,0.81617,1.58536,1.94775,0.81617,1.5897,3.73671,0.81617,3.04979,1.96959,0.81617,1.60752,1.9805,0.81617,1.61643,2.04319,0.81617,1.66759,1.97796,0.81617,1.61435,1.87533,0.81617,1.53059,2.03328,0.81617,1.65951,1.95292,0.81617,1.59392,2.01004,0.81617,1.64053,1.96287,0.81617,1.60204,2.09784,0.81617,1.7122,2.03916,0.81617,1.6643,1.97046,0.81617,1.60823,1.90526,0.81617,1.55502,1.98882,0.81617,1.62322,1.80858,0.81617,1.47611,2.09294,0.81617,1.7082,1.84963,0.81617,1.50961,1.98217,0.81617,1.61779,1.95205,0.81617,1.5932,2.15816,0.81617,1.76143,1.94288,0.81617,1.58572,2.06419,0.81617,1.68473,1.91103,0.81617,1.55973,2.028,0.81617,1.6552,1.96445,0.81617,1.60333,1.97569,0.81617,1.6125,2.01736,0.81617,1.64651,1.94638,0.81617,1.58858,2.03752,0.81617,1.66297,1.95089,0.81617,1.59226,2.1277,0.81617,1.73657,0,0,0
171,McNally,BUR,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Muric,BUR,GK,4.4,3.76583,0.1,0.37658,3.67281,0.1,0.36728,7.13291,0.1,0.71329,3.70288,0.1,0.37029,3.52062,0.1,0.35206,3.49268,0.1,0.34927,3.74915,0.1,0.37491,3.41709,0.1,0.34171,3.74412,0.1,0.37441,3.48809,0.1,0.34881,3.76154,0.1,0.37615,3.65263,0.1,0.36526,3.65222,0.1,0.36522,3.70303,0.1,0.3703,3.26154,0.1,0.32615,3.38235,0.1,0.33824,3.49234,0.1,0.34923,2.99923,0.1,0.29992,3.80354,0.1,0.38035,3.44649,0.1,0.34465,3.33694,0.1,0.33369,3.54783,0.1,0.35478,3.63673,0.1,0.36367,3.21155,0.1,0.32115,3.3842,0.1,0.33842,3.38708,0.1,0.33871,3.40799,0.1,0.3408,3.85444,0.1,0.38544,3.49949,0.1,0.34995,3.61585,0.1,0.36158,3.456,0.1,0.3456,3.42204,0.1,0.3422,3.48444,0.1,0.34844,3.91213,0.1,0.39121,0,0,0
173,O'Shea,BUR,DEF,4.5,2.67445,0.73302,1.96042,2.50796,0.73302,1.83838,4.62971,0.73302,3.39366,2.52438,0.73302,1.85042,2.62329,0.73302,1.92292,2.90449,0.73302,2.12904,2.90602,0.73302,2.13016,2.30401,0.73302,1.68888,3.04134,0.73302,2.22935,3.06367,0.73302,2.24573,2.88668,0.73302,2.11599,2.42599,0.73302,1.7783,3.13007,0.73302,2.2944,3.00774,0.73302,2.20473,2.40008,0.73302,1.75931,2.45868,0.73302,1.80226,3.09892,0.73302,2.27157,2.00856,0.73302,1.47231,2.94339,0.73302,2.15756,1.97517,0.73302,1.44783,2.74011,0.73302,2.00855,2.85879,0.73302,2.09555,3.16151,0.73302,2.31744,2.45685,0.73302,1.80091,2.87253,0.73302,2.10561,2.31955,0.73302,1.70027,3.03631,0.73302,2.22567,2.655,0.73302,1.94616,2.51736,0.73302,1.84527,2.53728,0.73302,1.85987,2.39845,0.73302,1.75811,2.82894,0.73302,2.07366,2.40734,0.73302,1.76463,3.22633,0.73302,2.36496,0,0,0
174,Obafemi,BUR,FWD,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Peacock-Farrell,BUR,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Roberts,BUR,DEF,4.5,2.70811,0.94094,2.54817,2.53443,0.94094,2.38475,4.66351,0.94094,4.38809,2.54238,0.94094,2.39223,2.64285,0.94094,2.48676,2.92845,0.94094,2.7555,2.93001,0.94094,2.75696,2.31854,0.94094,2.18161,3.06745,0.94094,2.88629,3.09014,0.94094,2.90764,2.91037,0.94094,2.73848,2.44245,0.94094,2.2982,3.15758,0.94094,2.97109,3.03332,0.94094,2.85418,2.41613,0.94094,2.27344,2.47564,0.94094,2.32944,3.12594,0.94094,2.94132,2.01846,0.94094,1.89925,2.96797,0.94094,2.79268,1.98455,0.94094,1.86734,2.76149,0.94094,2.5984,2.88204,0.94094,2.71183,3.18951,0.94094,3.00114,2.47379,0.94094,2.32769,2.89599,0.94094,2.72496,2.33433,0.94094,2.19647,3.06235,0.94094,2.88149,2.67505,0.94094,2.51706,2.53525,0.94094,2.38552,2.55548,0.94094,2.40455,2.41447,0.94094,2.27188,2.85172,0.94094,2.6833,2.4235,0.94094,2.28037,3.25535,0.94094,3.06309,0,0,0
177,Rodriguez,BUR,FWD,5.4,2.67037,0.52134,1.39217,2.68918,0.52134,1.40197,4.76593,0.52134,2.48467,2.50578,0.52134,1.30636,2.4317,0.52134,1.26774,2.64614,0.52134,1.37954,2.59733,0.52134,1.35409,2.46027,0.52134,1.28264,2.71902,0.52134,1.41753,2.53432,0.52134,1.32124,2.52604,0.52134,1.31692,2.50829,0.52134,1.30767,2.75635,0.52134,1.437,2.90272,0.52134,1.5133,2.74245,0.52134,1.42974,2.64325,0.52134,1.37803,2.67466,0.52134,1.39441,2.33939,0.52134,1.21962,3.07459,0.52134,1.6029,2.4117,0.52134,1.25731,2.47403,0.52134,1.28981,2.5472,0.52134,1.32795,2.7302,0.52134,1.42336,2.56376,0.52134,1.33659,2.50135,0.52134,1.30405,2.42358,0.52134,1.26351,2.72618,0.52134,1.42127,2.72068,0.52134,1.4184,2.74462,0.52134,1.43088,2.75114,0.52134,1.43428,2.34528,0.52134,1.22268,2.74258,0.52134,1.42981,2.44782,0.52134,1.27615,3.11865,0.52134,1.62588,0,0,0
178,Taylor,BUR,DEF,4,1.85408,0.35719,0.66226,1.65958,0.35719,0.59279,2.84405,0.35719,1.01586,1.55412,0.35719,0.55512,1.63476,0.35719,0.58392,1.86401,0.35719,0.66581,1.86526,0.35719,0.66626,1.37444,0.35719,0.49094,1.97559,0.35719,0.70566,1.9938,0.35719,0.71217,1.8495,0.35719,0.66063,1.4739,0.35719,0.52647,2.04793,0.35719,0.73151,1.94819,0.35719,0.69588,1.45278,0.35719,0.51892,1.50055,0.35719,0.53598,2.02254,0.35719,0.72243,1.13356,0.35719,0.4049,1.89573,0.35719,0.67714,1.10634,0.35719,0.39518,1.72999,0.35719,0.61794,1.82676,0.35719,0.6525,2.07356,0.35719,0.74066,1.49906,0.35719,0.53545,1.83796,0.35719,0.6565,1.38712,0.35719,0.49547,1.97149,0.35719,0.7042,1.66061,0.35719,0.59316,1.54839,0.35719,0.55307,1.56463,0.35719,0.55887,1.45145,0.35719,0.51844,1.80242,0.35719,0.64381,1.4587,0.35719,0.52103,2.12641,0.35719,0.75954,0,0,0
179,Thomas,BUR,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Twine,BUR,MID,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Vigouroux,BUR,GK,4,3.43031,0.00638,0.02188,3.35091,0.00638,0.02137,6.52027,0.00638,0.04159,3.37657,0.00638,0.02154,3.22101,0.00638,0.02055,3.19716,0.00638,0.02039,3.41607,0.00638,0.02179,3.13264,0.00638,0.01998,3.41177,0.00638,0.02176,3.19324,0.00638,0.02037,3.42664,0.00638,0.02186,3.33369,0.00638,0.02126,3.33334,0.00638,0.02126,3.3767,0.00638,0.02154,2.99987,0.00638,0.01914,3.10299,0.00638,0.01979,3.19687,0.00638,0.02039,2.77597,0.00638,0.01771,3.46249,0.00638,0.02209,3.15773,0.00638,0.02014,3.06423,0.00638,0.01955,3.24423,0.00638,0.02069,3.32012,0.00638,0.02118,2.9572,0.00638,0.01886,3.10456,0.00638,0.0198,3.10702,0.00638,0.01982,3.12487,0.00638,0.01993,3.50594,0.00638,0.02236,3.20298,0.00638,0.02043,3.30229,0.00638,0.02106,3.16585,0.00638,0.02019,3.13687,0.00638,0.02001,3.19013,0.00638,0.02035,3.55518,0.00638,0.02268,0,0,0
182,Vitinho,BUR,DEF,4.5,2.8447,0.4109,1.16888,2.61013,0.54573,1.42442,4.6392,0.64203,2.90747,2.49129,0.64203,1.59948,2.5961,0.64203,1.66677,2.89407,0.64203,1.85808,2.8957,0.64203,1.85912,2.25776,0.64203,1.44955,3.03909,0.64203,1.95119,3.06276,0.64203,1.96638,2.87521,0.64203,1.84597,2.38703,0.64203,1.53254,3.13312,0.64203,2.01156,3.00349,0.64203,1.92833,2.35957,0.64203,1.51492,2.42166,0.64203,1.55478,3.10011,0.64203,1.99036,1.94468,0.64203,1.24854,2.9353,0.64203,1.88455,1.9093,0.64203,1.22583,2.71988,0.64203,1.74625,2.84565,0.64203,1.82699,3.16643,0.64203,2.03294,2.41972,0.64203,1.55353,2.86021,0.64203,1.83634,2.27423,0.64203,1.46013,3.03377,0.64203,1.94777,2.6297,0.64203,1.68834,2.48385,0.64203,1.5947,2.50495,0.64203,1.60825,2.35784,0.64203,1.51381,2.81402,0.64203,1.80668,2.36726,0.64203,1.51985,3.23512,0.64203,2.07705,0,0,0
183,Weghorst,BUR,FWD,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Zaroury,BUR,MID,4.9,1.5002,0.86385,1.29595,1.47993,0.86385,1.27844,2.69808,0.86385,2.33074,1.40213,0.86385,1.21123,1.41328,0.86385,1.22086,1.47728,0.86385,1.27615,1.41068,0.86385,1.21862,1.3059,0.86385,1.1281,1.46716,0.86385,1.26741,1.38512,0.86385,1.19653,1.44343,0.86385,1.24691,1.39527,0.86385,1.20531,1.53308,0.86385,1.32435,1.47316,0.86385,1.27259,1.40302,0.86385,1.212,1.33645,0.86385,1.1545,1.42177,0.86385,1.2282,1.23774,0.86385,1.06923,1.52808,0.86385,1.32003,1.27965,0.86385,1.10543,1.41498,0.86385,1.22233,1.38422,0.86385,1.19576,1.59466,0.86385,1.37755,1.37486,0.86385,1.18767,1.49872,0.86385,1.29467,1.34235,0.86385,1.15959,1.46177,0.86385,1.26275,1.39689,0.86385,1.2067,1.40837,0.86385,1.21662,1.45091,0.86385,1.25337,1.37844,0.86385,1.19077,1.47149,0.86385,1.27115,1.38304,0.86385,1.19474,1.56356,0.86385,1.35069,0,0,0
185,Ampadu,CHE,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Andrey,NFO,MID,4.4,1.43052,0.00564,0.00807,1.31544,0.00564,0.00742,1.45103,0.00564,0.00819,1.39154,0.00564,0.00785,1.41105,0.00564,0.00796,1.33721,0.00564,0.00755,1.40739,0.00564,0.00794,1.38668,0.00564,0.00782,1.40409,0.00564,0.00792,1.46889,0.00564,0.00829,1.43775,0.00564,0.00811,1.42231,0.00564,0.00803,1.42525,0.00564,0.00804,1.50088,0.00564,0.00847,1.36138,0.00564,0.00768,1.45301,0.00564,0.0082,1.40664,0.00564,0.00794,1.40753,0.00564,0.00794,1.43989,0.00564,0.00813,1.43689,0.00564,0.00811,1.43464,0.00564,0.0081,1.36673,0.00564,0.00771,1.40131,0.00564,0.00791,1.39729,0.00564,0.00788,1.38515,0.00564,0.00782,1.40529,0.00564,0.00793,1.46629,0.00564,0.00827,1.39093,0.00564,0.00785,1.43184,0.00564,0.00808,1.39812,0.00564,0.00789,1.33955,0.00564,0.00756,1.42619,0.00564,0.00805,1.40085,0.00564,0.0079,1.39895,0.00564,0.00789,0,0,0
187,Arrizabalaga,CHE,GK,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Aubameyang,CHE,FWD,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Azpilicueta,CHE,DEF,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Baba,CHE,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,B.Badiashile,CHE,DEF,4.4,2.78064,0.43831,1.21879,2.63822,0.52597,1.38764,2.89605,0.55519,1.60787,3.09621,0.55519,1.719,2.5969,0.57273,1.48731,2.74492,0.57273,1.57209,2.22494,0.57273,1.27428,1.94729,0.57273,1.11527,2.06212,0.57273,1.18103,2.34792,0.57273,1.34471,2.21501,0.57273,1.26859,2.50177,0.57273,1.43283,2.95858,0.57273,1.69446,2.76074,0.57273,1.58115,2.78235,0.57273,1.59353,2.2872,0.57273,1.30994,2.82412,0.57273,1.61745,1.74187,0.57273,0.99761,2.92799,0.57273,1.67694,2.72956,0.57273,1.56329,1.77919,0.57273,1.01899,2.38144,0.57273,1.36391,2.46633,0.57273,1.41253,2.69619,0.57273,1.54418,2.10944,0.57273,1.20813,3.13684,0.57273,1.79655,2.50036,0.57273,1.43202,2.37018,0.57273,1.35747,3.03279,0.57273,1.73696,2.24579,0.57273,1.28622,2.28232,0.57273,1.30715,2.93361,0.57273,1.68016,2.76702,0.57273,1.58475,3.06793,0.57273,1.75709,0,0,0
192,Bettinelli,CHE,GK,4,0,0,0,0,0,0,3.31509,2.0E-5,7.0E-5,3.29574,0,0,3.00828,0,0,3.04788,0,0,3.1319,0.002,0.00627,3.06098,0.002,0.00613,3.07741,0.002,0.00616,3.14451,0.002,0.0063,3.10806,0.002,0.00622,3.44199,0.002,0.00689,3.13495,0.002,0.00628,3.36413,0.002,0.00674,3.35374,0.002,0.00672,3.32386,0.002,0.00666,3.39933,0.002,0.00681,3.10009,0.002,0.00621,3.06782,0.002,0.00614,3.18502,0.002,0.00638,2.72525,0.002,0.00546,3.13809,0.002,0.00628,3.16222,0.002,0.00633,3.0796,0.002,0.00617,3.07545,0.002,0.00616,3.1178,0.002,0.00624,3.28976,0.002,0.00659,3.24203,0.002,0.00649,3.27251,0.002,0.00655,3.27285,0.002,0.00655,3.04634,0.002,0.0061,3.34953,0.002,0.00671,3.36773,0.002,0.00674,3.25953,0.002,0.00653,0,0,0
193,Broja,CHE,FWD,4.9,1.97127,0.73286,1.44466,1.99812,0.83248,1.6634,2.16426,0.85309,1.84632,1.97769,0.85309,1.68715,1.84181,0.86258,1.5887,1.86236,0.86258,1.60643,1.8221,0.86258,1.5717,1.79695,0.86258,1.55001,1.76466,0.86258,1.52215,2.04534,0.86258,1.76426,1.74497,0.86258,1.50517,2.02734,0.86258,1.74873,1.88716,0.86258,1.62782,1.88094,0.86258,1.62245,1.93456,0.86258,1.6687,1.78658,0.86258,1.54106,2.29355,0.86258,1.97836,1.79493,0.86258,1.54826,2.03148,0.86258,1.7523,1.89685,0.86258,1.63617,1.74054,0.86258,1.50135,1.8778,0.86258,1.61975,1.80998,0.86258,1.56124,2.04381,0.86258,1.76294,1.83147,0.86258,1.57978,1.98076,0.86258,1.70855,2.01285,0.86258,1.73624,2.05025,0.86258,1.76849,2.05417,0.86258,1.77188,1.86758,0.86258,1.61093,1.9691,0.86258,1.6985,2.02609,0.86258,1.74766,2.00331,0.86258,1.72801,2.0345,0.86258,1.75491,0,0,0
194,Chalobah,CHE,DEF,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
