ID,Name,Team,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18
431,Watts,NEW,,,,,,,,,,,,,,,,,,
432,Willock,NEW,,1,1,1,1,1,1,1,1,1,,,,,,,,
433,Wilson,NEW,,,,,,,,0.5,,,,,,,,,,
434,B.Aguilera,NFO,,,,,,,,,,,,,,,,,,
435,Arter,NFO,,,,,,,,,,,,,,,,,,
436,Aurier,NFO,,,,,,0.5,,,0.5,,,,,,,,,
437,Awoniyi,NFO,0.5,,,,,,,,1,1,,,,,,,,
438,Biancone,NFO,,,,,,,,,,,,,,,,,,
439,Boly,NFO,,,,,,,,,,,,,,,,,,
440,Bowler,NFO,,,,,,,,,,,,,,,,,,
441,Cook,NFO,,,,,,,,,,,,,,,,,,
442,Danilo,NFO,,,,,1,1,1,1,1,1,,,,,,,,
443,Dennis,NFO,,,,,,,,,,,,,,,,,,
444,Dräger,NFO,,,,,,,,,,,,,,,,,,
445,Felipe,NFO,0.5,1,1,1,,,,,,1,,,,,,,,
446,Freuler,NFO,,,,,,,,,,,,,,,,,,
447,Gibbs-White,NFO,,,,,,,,,,,,,,,,,,
448,Hennessey,NFO,1,1,1,1,0.5,,,,,,,,,,,,,
449,Horvath,NFO,,,,,,,,,,,,,,,,,,
450,Johnson,TOT,,,,,,,0.5,1,1,0.5,,,,,,,,
451,Kouyaté,NFO,,,,,,,,,,,,,,,,,,
452,Laryea,NFO,,,,,,,,,,,,,,,,,,
453,Mangala,NFO,,,,0.5,,,,,0.5,,,,,,,,,
454,Mbe Soh,NFO,,,,,,,,,,,,,,,,,,
455,McKenna,NFO,,,,0.5,,,,,,,,,,,,,,
456,Mighten,NFO,,,,,,,,,,,,,,,,,,
457,Niakhaté,NFO,0.5,,,,,,,1,,,,,,,,,,
458,O'Brien,NFO,,,,,,,,,,,,,,,,,,
459,Ojeda,NFO,,,,,,,,,,,,,,,,,,
460,Panzo,NFO,,,,,,,,,,,,,,,,,,
461,O.Richards,NFO,,,1,1,1,,,,,,,,,,,,,
462,G.Scarpa,NFO,,,,,,,,,,,,,,,,,,
463,J.Shelvey,NFO,,,,,,,,,,,,,,,,,,
464,Surridge,NFO,,,,,,,,,,,,,,,,,,
465,Toffolo,NFO,,,,,,,,,,,,,,,,,,
466,Ui-jo,NFO,,,,,,,,,,,,,,,,,,
467,Williams,NFO,,,,,,,,,,,,,,,,,,
468,Wood,NFO,,,,,,,,,,,,,,,,,,
469,Worrall,NFO,,,,,,,,,,,,,,,,,,
470,Yates,NFO,,,,,,,,,,,,,,,,,,
471,Ahmedhodžić,SHU,,,,,0.5,,,,,1,,,,,,,,
472,Amissah,SHU,,,,,,,,,,,,,,,,,,
473,Baldock,SHU,,,0.5,,,0.5,0.5,0.5,0.5,0.5,,,,,,,,
474,Basham,SHU,,,,,,,,,1,1,,,,,,,,
475,Berge,BUR,,,,,,,,,,,,,,,,,,
476,Bogle,SHU,1,1,1,,,,,,,,,,,,,,,
477,Brewster,SHU,1,1,1,1,1,1,1,,,,,,,,,,,
478,Coulibaly,SHU,1,1,1,,,,,,,,,,,,,,,
479,A.Davies,SHU,,,,,,,,,,0.5,,,,,,,,
480,Egan,SHU,,,,,,0.5,,1,1,1,,,,,,,,
481,Fleck,SHU,0.5,0.5,1,1,1,1,1,1,,,,,,,,,,
482,Foderingham,SHU,,,,,,,,,,,,,,,,,,
483,Jebbison,SHU,,,,1,1,1,1,1,1,1,,,,,,,,
484,Lowe,SHU,,,,1,1,1,1,1,1,1,,,,,,,,
485,McBurnie,SHU,0.5,0.5,0.5,,,1,,,,0.5,,,,,,,,
486,Ndiaye,SHU,,,,,,,,,,,,,,,,,,
487,Norrington-Davies,SHU,,1,1,1,1,1,1,1,1,1,,,,,,,,
488,Norwood,SHU,0.5,,,,,,,,,,,,,,,,,
489,Osborn,SHU,,,,0.5,1,1,1,1,1,,,,,,,,,
490,Osula,SHU,,,,,,0.5,0.5,0.5,0.5,0.5,,,,,,,,
491,Austin,TOT,,,,,,,,,,,,,,,,,,
492,Bentancur,TOT,1,1,1,1,1,1,1,1,1,1,,,,,,,,
493,Bissouma,TOT,,,,,,,,,1,,,,,,,,,
494,Bryan,TOT,1,1,1,1,1,1,1,1,,,,,,,,,,
495,Davies,TOT,,,,,,,,,,,,,,,,,,
496,Dier,TOT,,,,,,,,,,,,,,,,,,
497,E.Royal,TOT,,,,,,,,,,,,,,,,,,
498,Forster,TOT,,1,,,,,,,,,,,,,,,,
499,Højbjerg,TOT,,,,,,,,,,,,,,,,,,
500,Kane,TOT,,,,,,,,,,,,,,,,,,
501,Kulusevski,TOT,,,,,,,,,,,,,,,,,,
502,Lloris,TOT,,,,,,,,,,,,,,,,,,
503,Lo Celso,TOT,,,,,0.5,1,1,1,,,,,,,,,,
504,Maddison,TOT,,,0.5,,,,,,,,,,,,,,,
505,Ndombele,TOT,,,,,,,,,,,,,,,,,,
506,Pedro Porro,TOT,,,,,,,,,,,,,,,,,,
507,Perišić,TOT,,,,,,,1,1,1,1,,,,,,,,
508,Reguilón,MUN,,,,,,,,0.5,0.5,,,,,,,,,
509,Richarlison,TOT,0.5,,,,,,,,,,,,,,,,,
510,Rodon,TOT,,,,,,,,,,,,,,,,,,
511,Romero,TOT,,0.5,,,,,,,,,,,,,,,,
512,Sánchez,TOT,,,,,,,,,,,,,,,,,,
513,Sarr,TOT,,,,,,,,,,,,,,,,,,
514,Sessegnon,TOT,1,1,1,1,1,1,1,1,1,1,,,,,,,,
515,Skipp,TOT,,,,,,,,,,,,,,,,,,
516,Son,TOT,,,,,,,,,,,,,,,,,,
517,Spence,TOT,,,,,,,,,,,,,,,,,,
518,Tanganga,TOT,,,,,,,,,,,,,,,,,,
519,Udogie,TOT,,,,,,,,,,,,,,,,,,
520,Vicario,TOT,,,,,,,,,,,,,,,,,,
521,Whiteman,TOT,,,,,,,,,,,,,,,,,,
522,N.Aguerd,WHU,,,1,,,,,,,,,,,,,,,
523,Antonio,WHU,,,,,,,,,,,,,,,,,,
524,Areola,WHU,,,,,,,,,,,,,,,,,,
525,Benrahma,WHU,,,,,,,,,,,,,,,,,,
526,Bowen,WHU,,,,,,,,,,,,,,,,,,
527,Cornet,WHU,,,,,,,,,,,,,,,,,,
528,Coufal,WHU,,,,,,,,,,,,,,,,,,
529,Coventry,WHU,,,,,,,,,,,,,,,,,,
530,Cresswell,WHU,,,,,,,1,1,1,1,,,,,,,,
531,Downes,WHU,,,,,,,,,,,,,,,,,,
532,Emerson,WHU,,,,,,,,,,1,,,,,,,,
533,Fabianski,WHU,,,,,,,,,,,,,,,,,,
534,P.Fornals,WHU,,,,,,,,,,,,,,,,,,
535,Ings,WHU,,,,,,,,,,,,,,,,,,
536,Johnson,WHU,,,,,,,,,0.5,0.5,,,,,,,,
537,Kehrer,WHU,,,,,,,,,,,,,,,,,,
538,Mubama,WHU,,,,,,,,,,,,,,,,,,
539,L.Paquetá,WHU,,,,,,,,,,,,,,,,,,
540,Rice,ARS,,,,,,,0.5,,,,,,,,,,,
541,Scamacca,WHU,,,,,,,,,,,,,,,,,,
542,Souček,WHU,,,,,0.5,,,,,,,,,,,,,
543,Vlašić,WHU,,,,,,,,,,,,,,,,,,
544,Zouma,WHU,,,,,,,,,,,,,,,,,,
545,Aït-Nouri,WOL,,,,,,0.5,,,,,,,,,,,,
546,Bentley,WOL,,,,,,,,,,,,,,,,,,
547,Bolla,WOL,,,,,,,,,,,,,,,,,,
548,H.Bueno,WOL,,,,,,,,,1,1,,,,,,,,
549,Chiquinho,WOL,,,,,,,,,,,,,,,,,,
550,Cundle,WOL,,,,,,,,,,,,,,,,,,
551,Dawson,WOL,,,,,,,,,,,,,,,,,,
552,Fábio Silva,WOL,,,,,,,,,,,,,,,,,,
553,Giles,LUT,,,,,,,,,,,,,,,,,,
554,Guedes,WOL,,,,,,,,,,,,,,,,,,
555,Hodge,WOL,,,,,0.5,1,,,,,,,,,,,,
556,Hoever,WOL,,,,,,,,,,,,,,,,,,
557,Hee Chan,WOL,,,,0.5,,,,,,,,,,,,,,
558,Raúl,FUL,,,,,,,,,,,,,,,,,,
559,João Gomes,WOL,,,,,,,,,,,,,,,,,,
560,J.Otto,WOL,,,,,,,,,,,,,,,,,,
561,Jordão,WOL,,,,,,,,,,,,,,,,,,
562,Kalajdžić,WOL,,,,,,,,,,,,,,,,,,
563,Kilman,WOL,,,,,,,,,,,,,,,,,,
564,King,WOL,,,,,,,,,,,,,,,,,,
565,Lemina,WOL,,,,,,,,,1,,,,,,,,,
566,Matheus N.,MCI,,,1,,,,,,,,,,,,,,,
567,Neto,WOL,,,,,,,,,,,,,,,,,,
568,Podence,WOL,,,,,,,,,,,,,,,,,,
569,José Sá,WOL,,,,,,,,,,,,,,,,,,
570,Sarabia,WOL,,,,,,,,,,,,,,,,,,
571,Šarkić,WOL,,,,,,,,,,,,,,,,,,
572,N.Semedo,WOL,,,,,,,,,,,,,,,,,,
573,Toti,WOL,,,,,,,,,,,,,,,,,,
574,Boubacar Traore,WOL,,,,,,,,,,,,,,,,,,
575,Lockyer,LUT,,,,,,,,,,,,,,,,,,
576,Robinson,SHU,,,,,,,,,,,,,,,,,,
577,Ogbonna,WHU,,,,,,,,,,,,,,,,,,
578,Nelson,ARS,,,,,,,,,,,,,,,,,,
579,Lonergan,EVE,,,,,,,,,,,,,,,,,,
580,Karius,NEW,,,,,,,,,,,,,,,,,,
581,Dummett,NEW,,,,,,,,,,,,,,,,,,
582,Mpanzu,LUT,,,,,,,,,,,,,,,,,,
583,Solomon,TOT,,,,,,,,,1,1,,,,,,,,
584,Pau,AVL,,,,,,,,,,,,,,,,,,
585,J.Timber,ARS,,0.5,1,,1,1,1,1,1,1,,,,,,,,
586,Chong,LUT,,,,,,,,,,,,,,,,,,
587,Slimane,SHU,,,0.5,,0.5,,,,,,,,,,,,,
588,Young,EVE,,,,,,,,,,1,,,,,,,,
589,Ângelo,CHE,,,,,,,,,,,,,,,,,,
590,Cunha,WOL,,0.5,,,,,,,,,,,,,,,,
591,Willian,FUL,,,,,0.5,,,,,,,,,,,,,
592,Larouci,SHU,,,,,,,,,,,,,,,,,,
593,T.Bénie,SHU,,,,,,,,,,,,,,,,,,
594,Amdouni,BUR,,,,,,,,,,,,,,,,,,
595,Kerkez,BOU,,,,,,,,,,,,,,,,,,
596,Trafford,BUR,,,,,,,,,,,,,,,,,,
597,Onana,MUN,,,,,,,,,,,,,,,,,,
598,Doherty,WOL,,,,,,,,,,,,,,,,,,
599,Diaby,AVL,,,,,,,,0.5,,,,,,,,,,
600,Redmond,BUR,,,,,,,,1,1,,,,,,,,,
601,Danjuma,EVE,0.5,,,,,,,,,,,,,,,,,
602,Kaboré,LUT,,,,,,,,,,,,,,,,,,
603,Barnes,NEW,,,,,,,0.5,1,1,1,,,,,,,,
604,Aina,NFO,,,0.5,,,,,,0.5,,,,,,,,,
605,Koleosho,BUR,,,,,,,,,,,,,,,,,,
606,Igor,BHA,,,,,,,,,0.5,,,,,,,,,
607,Radu,BOU,,,,,,,,,,,,,,,,,,
608,Bruun Larsen,BUR,,,,,,,,,,,,,,,,,,
609,Maatsen,CHE,,,,,,,,,,,,,,,,,,
610,Bassey,FUL,,,,,,,,0.5,,,,,,,,,,
611,Disasi,CHE,,,,,,,,,0.5,,,,,,,,,
613,Ugochukwu,CHE,,,,,,,,,,,,,,,,,,
614,Kaminski,LUT,,,,,,,,,,,,,,,,,,
615,Matheus França,CRY,,1,1,,1,1,1,1,0.5,,,,,,,,,
616,Gvardiol,MCI,,,,,,,,,,,,,,,,,,
617,Højlund,MUN,,1,1,,0.5,,,,,,,,,,,,,
618,Kellyman,AVL,,,,,,,,,,,,,,,,,,
619,Greenwood,BOU,,,,,,,,,,,,,,,,,,
620,Olakigbe,BRE,,,,,,,,,,,,,,,,,,
621,Hinshelwood,BHA,,,,,,,,,,,,,,,,,,
622,Dodgson,BUR,,,,,,,,,,,,,,,,,,
623,Burstow,CHE,,,,,,,,,,,,,,,,,,
624,Dobbin,EVE,,,,,,,,,,,,,,,,,,
625,De Fougerolles,FUL,,,,,,,,,,,,,,,,,,
626,Quansah,LIV,,,,,,,,,,,,,,,,,,
627,Clark,LIV,,,,,,,,,,,,,,,,,,
628,Doak,LIV,,,,,,,,,,1,,,,,,,,
629,McConnell,LIV,,,,,,,,,,,,,,,,,,
630,Barkley,LUT,,,,,,0.5,0.5,0.5,,,,,,,,,,
631,Brown,LUT,,,,,,,,,,,,,,,,,,
632,Forson,MUN,,,,,,,,,,,,,,,,,,
633,Livramento,NEW,,,,,,,,,,,,,,,,,,
634,A.Murphy,NEW,,,,,,,,,,,,,,,,,,
635,Miley,NEW,,,,,,,,,,1,,,,,,,,
636,G.Shelvey,NFO,,,,,,,,,,,,,,,,,,
637,Powell,NFO,,,,,,,,,,,,,,,,,,
638,Vini Souza,SHU,,,,,,,,,,,,,,,,,,
639,Van de Ven,TOT,,,,,,,,,,,,,,,,,,
640,Scarlett,TOT,,,,,,,,,,,,,,,,,,
641,Veliz,TOT,,,,,,,,,,,,,,,,,,
642,Álvarez,WHU,,1,,,,0.5,,,,,,,,,,,,
643,Aarons,BOU,,,,,,,,,,,,,,,,,,
644,Scott,BOU,,1,1,,1,1,1,1,1,,,,,,,,,
645,Y. Chermiti,EVE,,,,,,,,,,,,,,,,,,
646,Hein,ARS,,,,,,,,,,,,,,,,,,
647,Anang,WHU,,,,,,,,,,,,,,,,,,
648,Francis-Clarke,LUT,,,,,,,,,,,,,,,,,,
649,Cannon,EVE,,,,,,,,,,,,,,,,,,
650,Onyango,EVE,,,,,,,,,,,,,,,,,,
651,Stansfield,FUL,,,,,,,,,,,,,,,,,,
652,Dibley-Dias,FUL,,,,,,,,,,,,,,,,,,
653,Seriki,SHU,,,,,,,,,,,,,,,,,,
654,Marsh,SHU,,,,,,,,,,,,,,,,,,
655,Brooks,SHU,,,,,,,,,,,,,,,,,,
656,Hackford,SHU,,,,,,,,,,,,,,,,,,
657,Rak-Sakyi,CRY,,,,,,,,,,,,,,,,,,
658,Gordon,CRY,,,,,,,,,,,,,,,,,,
659,Bergström,CHE,,,,,,,,,,,,,,,,,,
660,Odobert,BUR,,,,,,,,,,,,,,,,,,
661,Harrison,EVE,,,,,1,1,1,,,,,,,,,,,
662,Adama,FUL,,,,,,,1,1,1,1,,,,,,,,
663,Hamer,SHU,,,,,,,,,,,,,,,,,,
664,Ward-Prowse,WHU,,,,,,,,,,,,,,,,,,
665,Krul,LUT,,,,,,,,,,,,,,,,,,
666,T.Davies,SHU,,,,,,,,,1,1,,,,,,,,
667,Lavia,CHE,,,,,0.5,1,1,1,1,1,,,,,,,,
668,Endo,LIV,,,,,,,,,,,,,,,,,,
669,Vítek,MUN,,,,,,,,,,,,,,,,,,
670,Marschall,AVL,,,,,,,,,,,,,,,,,,
671,Humphreys,CHE,,,,,,,,,,,,,,,,,,
672,Zaniolo,AVL,,,,,,,,,,,,,,,,,,
673,Adams,BOU,,,,,1,1,1,,1,1,,,,,,,,
674,Delcroix,BUR,,,,,,,,,,,,,,,,,,
675,A.Ramsey,BUR,,,,,,,,,,,,,,,,,,
676,Mavropanos,WHU,,,,1,1,,,,,,,,,,,,,
677,Deivid,CHE,,,,,,,,,,,,,,,,,,
678,Doku,MCI,,,,,,,,,,,,,,,,,,
679,G.Montiel,NFO,,,,,,,,,,0.5,,,,,,,,
680,Beach,CHE,,,,,,,,,,,,,,,,,,
681,Diego Moreira,CHE,,,,,,,,,,,,,,,,,,
682,Johnson,LUT,,,,,,,,,,,,,,,,,,
683,Harris,FUL,,,,,,,,,,,,,,,,,,
684,Brierley,BRE,,,,,,,,,,,,,,,,,,
685,Gore,MUN,,,,,,,,,,,,,,,,,,
686,Zych,AVL,,,,,,,,,,,,,,,,,,
687,Petrovic,CHE,,,,,,,,,,,,,,,,,,
688,Castagne,FUL,,,,,,,,,,,,,,,,,,
689,Kudus,WHU,,,,,,,,,,,,,,,,,,
690,Baleba,BHA,,,,,,,,,,,,,,,,,,
691,Beto,EVE,,,,,,,,,,,,,,,,,,
692,Benda,FUL,,,,,,,,,,,,,,,,,,
693,Thomas,SHU,,,,,,,,,,,,,,,,,,
694,Massengo,BUR,,,,,,,,,,,,,,,,,,
695,Altay,MUN,,,,,,,,,,,,,,,,,,
696,Murillo,NFO,,,,,,,,,,,,,,,,,,
697,S.Bueno,WOL,,,,,,,,,,,,,,,,,,
698,González,WOL,,,,,,,,,,,,,,,,,,
699,Lenglet,AVL,,,,,,,,,,,,,,,,,,
700,Ansu Fati,BHA,,,,,,,,,,,,,,,,,,
701,Ghoddos,BRE,,,,,,,,,,,,,,,,,,
702,Phillips,TOT,,,,,,,,,,,,,,,,,,
703,Evans,MUN,,,,,,,,,,,,,,,,,,
704,Fraser,WOL,,,,,,,,,,,,,,,,,,
705,Sinisterra,BOU,,,,,,,,,,,,,,,,,,
706,M.Trésor,BUR,,,,,,,,,,,,,,,,,,
707,Ballo-Touré,FUL,,,,,,,,,,,,,,,,,,
708,Gravenberch,LIV,,,,,,,,,,,,,,,,,,
709,Amrabat,MUN,,,,,0.5,0.5,,,,,,,,,,,,
710,Odysseas,NFO,,,,,,,,,,,,,,,,,,
711,Omobamidele,NFO,,,,,,,,,,,,,,,,,,
712,Dominguez,NFO,,,,,,,,0.5,,,,,,,,,,
713,Sangaré,NFO,,,,,,,,,,,,,,,,,,
714,Origi,NFO,,,,,,,,,,1,,,,,,,,
715,Bellegarde,WOL,,,,,,,1,1,,0.5,,,,,,,,
